configuration,database,filename,stage,nfiq2,error
D,DB3_B,110_4.tif,stage2,16.0,
D,DB3_B,110_4.tif,stage3,17.0,
A,DB3_B,107_7.tif,raw,12.0,
A,DB3_B,107_7.tif,step0,12.0,
A,DB3_B,107_7.tif,stage1,10.0,
A,DB3_B,107_7.tif,stage2,7.0,
A,DB3_B,107_7.tif,stage3,6.0,
B,DB3_B,107_7.tif,raw,12.0,
B,DB3_B,107_7.tif,step0,12.0,
B,DB3_B,107_7.tif,stage1,10.0,
B,DB3_B,107_7.tif,stage2,9.0,
B,DB3_B,107_7.tif,stage3,7.0,
C,DB3_B,107_7.tif,raw,12.0,
C,DB3_B,107_7.tif,step0,12.0,
C,DB3_B,107_7.tif,stage1,10.0,
C,DB3_B,107_7.tif,stage2,5.0,
C,DB3_B,107_7.tif,stage3,7.0,
D,DB3_B,107_7.tif,raw,12.0,
D,DB3_B,107_7.tif,step0,12.0,
D,DB3_B,107_7.tif,stage1,10.0,
D,DB3_B,107_7.tif,stage2,7.0,
D,DB3_B,107_7.tif,stage3,6.0,
A,DB3_B,101_5.tif,raw,42.0,
A,DB3_B,101_5.tif,step0,42.0,
A,DB3_B,101_5.tif,stage1,49.0,
A,DB3_B,101_5.tif,stage2,32.0,
A,DB3_B,101_5.tif,stage3,44.0,
B,DB3_B,101_5.tif,raw,42.0,
B,DB3_B,101_5.tif,step0,42.0,
B,DB3_B,101_5.tif,stage1,49.0,
B,DB3_B,101_5.tif,stage2,29.0,
B,DB3_B,101_5.tif,stage3,44.0,
C,DB3_B,101_5.tif,raw,42.0,
C,DB3_B,101_5.tif,step0,42.0,
C,DB3_B,101_5.tif,stage1,49.0,
C,DB3_B,101_5.tif,stage2,31.0,
C,DB3_B,101_5.tif,stage3,39.0,
D,DB3_B,101_5.tif,raw,42.0,
D,DB3_B,101_5.tif,step0,42.0,
D,DB3_B,101_5.tif,stage1,49.0,
D,DB3_B,101_5.tif,stage2,32.0,
D,DB3_B,101_5.tif,stage3,49.0,
A,DB4_B,101_4.tif,raw,50.0,
A,DB4_B,101_4.tif,step0,50.0,
A,DB4_B,101_4.tif,stage1,50.0,
A,DB4_B,101_4.tif,stage2,55.0,
A,DB4_B,101_4.tif,stage3,54.0,
B,DB4_B,101_4.tif,raw,50.0,
B,DB4_B,101_4.tif,step0,50.0,
B,DB4_B,101_4.tif,stage1,46.0,
B,DB4_B,101_4.tif,stage2,58.0,
B,DB4_B,101_4.tif,stage3,52.0,
C,DB4_B,101_4.tif,raw,50.0,
C,DB4_B,101_4.tif,step0,50.0,
C,DB4_B,101_4.tif,stage1,50.0,
C,DB4_B,101_4.tif,stage2,54.0,
C,DB4_B,101_4.tif,stage3,59.0,
D,DB4_B,101_4.tif,raw,50.0,
D,DB4_B,101_4.tif,step0,50.0,
D,DB4_B,101_4.tif,stage1,50.0,
D,DB4_B,101_4.tif,stage2,55.0,
D,DB4_B,101_4.tif,stage3,57.0,
A,DB4_B,102_4.tif,raw,38.0,
A,DB4_B,102_4.tif,step0,38.0,
A,DB4_B,102_4.tif,stage1,56.0,
A,DB4_B,102_4.tif,stage2,56.0,
A,DB4_B,102_4.tif,stage3,59.0,
B,DB4_B,102_4.tif,raw,38.0,
B,DB4_B,102_4.tif,step0,38.0,
B,DB4_B,102_4.tif,stage1,54.0,
B,DB4_B,102_4.tif,stage2,51.0,
B,DB4_B,102_4.tif,stage3,53.0,
C,DB4_B,102_4.tif,raw,38.0,
C,DB4_B,102_4.tif,step0,38.0,
C,DB4_B,102_4.tif,stage1,56.0,
C,DB4_B,102_4.tif,stage2,51.0,
C,DB4_B,102_4.tif,stage3,54.0,
D,DB4_B,102_4.tif,raw,38.0,
D,DB4_B,102_4.tif,step0,38.0,
D,DB4_B,102_4.tif,stage1,56.0,
D,DB4_B,102_4.tif,stage2,56.0,
D,DB4_B,102_4.tif,stage3,54.0,
A,DB4_B,104_4.tif,raw,45.0,
A,DB4_B,104_4.tif,step0,45.0,
A,DB4_B,104_4.tif,stage1,47.0,
A,DB4_B,104_4.tif,stage2,45.0,
A,DB4_B,104_4.tif,stage3,48.0,
B,DB4_B,104_4.tif,raw,45.0,
B,DB4_B,104_4.tif,step0,45.0,
B,DB4_B,104_4.tif,stage1,40.0,
B,DB4_B,104_4.tif,stage2,41.0,
B,DB4_B,104_4.tif,stage3,59.0,
C,DB4_B,104_4.tif,raw,45.0,
C,DB4_B,104_4.tif,step0,45.0,
C,DB4_B,104_4.tif,stage1,47.0,
C,DB4_B,104_4.tif,stage2,40.0,
C,DB4_B,104_4.tif,stage3,44.0,
D,DB4_B,104_4.tif,raw,45.0,
D,DB4_B,104_4.tif,step0,45.0,
D,DB4_B,104_4.tif,stage1,47.0,
D,DB4_B,104_4.tif,stage2,45.0,
D,DB4_B,104_4.tif,stage3,52.0,
A,DB4_B,104_6.tif,raw,31.0,
A,DB4_B,104_6.tif,step0,31.0,
A,DB4_B,104_6.tif,stage1,34.0,
A,DB4_B,104_6.tif,stage2,37.0,
A,DB4_B,104_6.tif,stage3,54.0,
B,DB4_B,104_6.tif,raw,31.0,
B,DB4_B,104_6.tif,step0,31.0,
B,DB4_B,104_6.tif,stage1,30.0,
B,DB4_B,104_6.tif,stage2,39.0,
B,DB4_B,104_6.tif,stage3,56.0,
C,DB4_B,104_6.tif,raw,31.0,
C,DB4_B,104_6.tif,step0,31.0,
C,DB4_B,104_6.tif,stage1,34.0,
C,DB4_B,104_6.tif,stage2,33.0,
C,DB4_B,104_6.tif,stage3,53.0,
D,DB4_B,104_6.tif,raw,31.0,
D,DB4_B,104_6.tif,step0,31.0,
D,DB4_B,104_6.tif,stage1,34.0,
D,DB4_B,104_6.tif,stage2,37.0,
D,DB4_B,104_6.tif,stage3,55.0,
