database,filename,height,width,dtype,stage3_equals_enhance,validation_error,raw_nfiq2,raw_error,step0_nfiq2,step0_error,stage1_nfiq2,stage1_error,stage2_nfiq2,stage2_error,stage3_nfiq2,stage3_error,step0_minus_raw,stage1_minus_step0,stage1_minus_raw,stage2_minus_stage1,stage2_minus_raw,stage3_minus_stage2,stage3_minus_raw
DB1_B,107_1.tif,374,388,uint8,True,,71.0,,71.0,,69.0,,61.0,,85.0,,0.0,-2.0,-2.0,-8.0,-10.0,24.0,14.0
DB1_B,107_2.tif,374,388,uint8,True,,74.0,,74.0,,74.0,,65.0,,70.0,,0.0,0.0,0.0,-9.0,-9.0,5.0,-4.0
DB1_B,107_3.tif,374,388,uint8,True,,54.0,,54.0,,67.0,,72.0,,66.0,,0.0,13.0,13.0,5.0,18.0,-6.0,12.0
DB1_B,107_4.tif,374,388,uint8,True,,73.0,,73.0,,84.0,,63.0,,69.0,,0.0,11.0,11.0,-21.0,-10.0,6.0,-4.0
DB1_B,107_5.tif,374,388,uint8,True,,60.0,,60.0,,55.0,,60.0,,54.0,,0.0,-5.0,-5.0,5.0,0.0,-6.0,-6.0
DB1_B,107_6.tif,374,388,uint8,True,,73.0,,73.0,,79.0,,76.0,,69.0,,0.0,6.0,6.0,-3.0,3.0,-7.0,-4.0
DB1_B,107_7.tif,374,388,uint8,True,,76.0,,76.0,,69.0,,79.0,,61.0,,0.0,-7.0,-7.0,10.0,3.0,-18.0,-15.0
DB1_B,107_8.tif,374,388,uint8,True,,51.0,,51.0,,67.0,,64.0,,66.0,,0.0,16.0,16.0,-3.0,13.0,2.0,15.0
DB1_B,108_1.tif,374,388,uint8,True,,71.0,,71.0,,75.0,,78.0,,81.0,,0.0,4.0,4.0,3.0,7.0,3.0,10.0
DB1_B,108_2.tif,374,388,uint8,True,,79.0,,79.0,,72.0,,72.0,,75.0,,0.0,-7.0,-7.0,0.0,-7.0,3.0,-4.0
DB1_B,108_3.tif,374,388,uint8,True,,82.0,,82.0,,76.0,,68.0,,79.0,,0.0,-6.0,-6.0,-8.0,-14.0,11.0,-3.0
DB1_B,108_4.tif,374,388,uint8,True,,75.0,,75.0,,72.0,,70.0,,81.0,,0.0,-3.0,-3.0,-2.0,-5.0,11.0,6.0
DB1_B,108_5.tif,374,388,uint8,True,,44.0,,44.0,,71.0,,67.0,,80.0,,0.0,27.0,27.0,-4.0,23.0,13.0,36.0
DB1_B,108_6.tif,374,388,uint8,True,,78.0,,78.0,,82.0,,85.0,,85.0,,0.0,4.0,4.0,3.0,7.0,0.0,7.0
DB1_B,108_7.tif,374,388,uint8,True,,68.0,,68.0,,70.0,,76.0,,92.0,,0.0,2.0,2.0,6.0,8.0,16.0,24.0
DB1_B,108_8.tif,374,388,uint8,True,,79.0,,79.0,,75.0,,72.0,,90.0,,0.0,-4.0,-4.0,-3.0,-7.0,18.0,11.0
