database,filename,stage,nfiq2,error,scored_path,height,width,dtype
DB1_B,102_8.tif,stage1,45.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,102_8.tif,stage2,43.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,102_8.tif,stage3,43.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_1.tif,raw,62.0,,data\raw\DB1_B\103_1.tif,374,388,uint8
DB1_B,103_1.tif,step0,62.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_1.tif,stage1,79.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_1.tif,stage2,74.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_1.tif,stage3,62.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_2.tif,raw,67.0,,data\raw\DB1_B\103_2.tif,374,388,uint8
DB1_B,103_2.tif,step0,67.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_2.tif,stage1,65.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_2.tif,stage2,65.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_2.tif,stage3,64.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_3.tif,raw,70.0,,data\raw\DB1_B\103_3.tif,374,388,uint8
DB1_B,103_3.tif,step0,70.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_3.tif,stage1,66.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_3.tif,stage2,69.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_3.tif,stage3,77.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_4.tif,raw,31.0,,data\raw\DB1_B\103_4.tif,374,388,uint8
DB1_B,103_4.tif,step0,31.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_4.tif,stage1,32.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_4.tif,stage2,37.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_4.tif,stage3,46.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_5.tif,raw,67.0,,data\raw\DB1_B\103_5.tif,374,388,uint8
DB1_B,103_5.tif,step0,67.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_5.tif,stage1,62.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_5.tif,stage2,68.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_5.tif,stage3,69.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_6.tif,raw,76.0,,data\raw\DB1_B\103_6.tif,374,388,uint8
DB1_B,103_6.tif,step0,76.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_6.tif,stage1,82.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_6.tif,stage2,67.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_6.tif,stage3,72.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_7.tif,raw,59.0,,data\raw\DB1_B\103_7.tif,374,388,uint8
DB1_B,103_7.tif,step0,59.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_7.tif,stage1,65.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_7.tif,stage2,59.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_7.tif,stage3,63.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_8.tif,raw,42.0,,data\raw\DB1_B\103_8.tif,374,388,uint8
DB1_B,103_8.tif,step0,42.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_8.tif,stage1,39.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_8.tif,stage2,38.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,103_8.tif,stage3,48.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_1.tif,raw,79.0,,data\raw\DB1_B\104_1.tif,374,388,uint8
DB1_B,104_1.tif,step0,79.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_1.tif,stage1,70.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_1.tif,stage2,75.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_1.tif,stage3,67.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_2.tif,raw,74.0,,data\raw\DB1_B\104_2.tif,374,388,uint8
DB1_B,104_2.tif,step0,74.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_2.tif,stage1,71.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_2.tif,stage2,73.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_2.tif,stage3,65.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_3.tif,raw,74.0,,data\raw\DB1_B\104_3.tif,374,388,uint8
DB1_B,104_3.tif,step0,74.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_3.tif,stage1,80.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_3.tif,stage2,80.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_3.tif,stage3,63.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_4.tif,raw,73.0,,data\raw\DB1_B\104_4.tif,374,388,uint8
DB1_B,104_4.tif,step0,73.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_4.tif,stage1,88.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_4.tif,stage2,84.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_4.tif,stage3,71.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_5.tif,raw,66.0,,data\raw\DB1_B\104_5.tif,374,388,uint8
DB1_B,104_5.tif,step0,66.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_5.tif,stage1,69.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_5.tif,stage2,62.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_5.tif,stage3,64.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_6.tif,raw,63.0,,data\raw\DB1_B\104_6.tif,374,388,uint8
DB1_B,104_6.tif,step0,63.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_6.tif,stage1,66.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_6.tif,stage2,68.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_6.tif,stage3,68.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_7.tif,raw,76.0,,data\raw\DB1_B\104_7.tif,374,388,uint8
DB1_B,104_7.tif,step0,76.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_7.tif,stage1,75.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_7.tif,stage2,67.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_7.tif,stage3,56.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_8.tif,raw,69.0,,data\raw\DB1_B\104_8.tif,374,388,uint8
DB1_B,104_8.tif,step0,69.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_8.tif,stage1,61.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_8.tif,stage2,73.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,104_8.tif,stage3,74.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_1.tif,raw,48.0,,data\raw\DB1_B\105_1.tif,374,388,uint8
DB1_B,105_1.tif,step0,48.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_1.tif,stage1,47.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_1.tif,stage2,56.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_1.tif,stage3,52.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_2.tif,raw,80.0,,data\raw\DB1_B\105_2.tif,374,388,uint8
DB1_B,105_2.tif,step0,80.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_2.tif,stage1,86.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_2.tif,stage2,87.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_2.tif,stage3,83.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_3.tif,raw,77.0,,data\raw\DB1_B\105_3.tif,374,388,uint8
DB1_B,105_3.tif,step0,77.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_3.tif,stage1,73.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_3.tif,stage2,69.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_3.tif,stage3,60.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_4.tif,raw,55.0,,data\raw\DB1_B\105_4.tif,374,388,uint8
DB1_B,105_4.tif,step0,55.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_4.tif,stage1,59.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_4.tif,stage2,62.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_4.tif,stage3,68.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_5.tif,raw,64.0,,data\raw\DB1_B\105_5.tif,374,388,uint8
DB1_B,105_5.tif,step0,64.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_5.tif,stage1,73.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_5.tif,stage2,66.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_5.tif,stage3,66.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_6.tif,raw,50.0,,data\raw\DB1_B\105_6.tif,374,388,uint8
DB1_B,105_6.tif,step0,50.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_6.tif,stage1,46.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_6.tif,stage2,44.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_6.tif,stage3,38.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_7.tif,raw,73.0,,data\raw\DB1_B\105_7.tif,374,388,uint8
DB1_B,105_7.tif,step0,73.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_7.tif,stage1,72.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_7.tif,stage2,77.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_7.tif,stage3,60.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_8.tif,raw,64.0,,data\raw\DB1_B\105_8.tif,374,388,uint8
DB1_B,105_8.tif,step0,64.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_8.tif,stage1,65.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_8.tif,stage2,67.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,105_8.tif,stage3,59.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_1.tif,raw,81.0,,data\raw\DB1_B\106_1.tif,374,388,uint8
DB1_B,106_1.tif,step0,81.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_1.tif,stage1,77.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_1.tif,stage2,74.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_1.tif,stage3,75.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
