db,file,raw_nfiq2,raw_error,stage1_nfiq2,stage1_error,stage2_nfiq2,stage2_error,stage3_nfiq2,stage3_error,delta_p1,delta_p2,delta_p6,delta_final
DB2_B,103_1.tif,56.0,,67.0,,67.0,,58.0,,11.0,0.0,-9.0,2.0
DB2_B,103_2.tif,48.0,,57.0,,59.0,,65.0,,9.0,2.0,6.0,17.0
DB2_B,103_3.tif,56.0,,68.0,,45.0,,32.0,,12.0,-23.0,-13.0,-24.0
DB2_B,103_4.tif,55.0,,61.0,,55.0,,54.0,,6.0,-6.0,-1.0,-1.0
DB2_B,103_5.tif,40.0,,46.0,,47.0,,41.0,,6.0,1.0,-6.0,1.0
DB2_B,103_6.tif,48.0,,60.0,,45.0,,40.0,,12.0,-15.0,-5.0,-8.0
DB2_B,103_7.tif,49.0,,58.0,,60.0,,42.0,,9.0,2.0,-18.0,-7.0
DB2_B,103_8.tif,38.0,,51.0,,46.0,,54.0,,13.0,-5.0,8.0,16.0
DB2_B,104_1.tif,58.0,,60.0,,56.0,,59.0,,2.0,-4.0,3.0,1.0
DB2_B,104_2.tif,64.0,,75.0,,61.0,,53.0,,11.0,-14.0,-8.0,-11.0
DB2_B,104_3.tif,82.0,,72.0,,67.0,,57.0,,-10.0,-5.0,-10.0,-25.0
DB2_B,104_4.tif,65.0,,65.0,,57.0,,53.0,,0.0,-8.0,-4.0,-12.0
DB2_B,104_5.tif,54.0,,64.0,,47.0,,51.0,,10.0,-17.0,4.0,-3.0
DB2_B,104_6.tif,61.0,,59.0,,51.0,,49.0,,-2.0,-8.0,-2.0,-12.0
DB2_B,104_7.tif,69.0,,55.0,,49.0,,50.0,,-14.0,-6.0,1.0,-19.0
DB2_B,104_8.tif,17.0,,19.0,,44.0,,46.0,,2.0,25.0,2.0,29.0
DB2_B,105_1.tif,62.0,,59.0,,74.0,,69.0,,-3.0,15.0,-5.0,7.0
DB2_B,105_2.tif,63.0,,45.0,,55.0,,52.0,,-18.0,10.0,-3.0,-11.0
DB2_B,105_3.tif,59.0,,59.0,,72.0,,57.0,,0.0,13.0,-15.0,-2.0
DB2_B,105_4.tif,56.0,,77.0,,57.0,,52.0,,21.0,-20.0,-5.0,-4.0
DB2_B,105_5.tif,31.0,,29.0,,45.0,,57.0,,-2.0,16.0,12.0,26.0
DB2_B,105_6.tif,52.0,,51.0,,60.0,,59.0,,-1.0,9.0,-1.0,7.0
DB2_B,105_7.tif,32.0,,57.0,,52.0,,50.0,,25.0,-5.0,-2.0,18.0
DB2_B,105_8.tif,38.0,,55.0,,55.0,,59.0,,17.0,0.0,4.0,21.0
DB2_B,106_1.tif,44.0,,65.0,,61.0,,72.0,,21.0,-4.0,11.0,28.0
DB2_B,106_2.tif,68.0,,69.0,,74.0,,60.0,,1.0,5.0,-14.0,-8.0
DB2_B,106_3.tif,66.0,,68.0,,75.0,,61.0,,2.0,7.0,-14.0,-5.0
DB2_B,106_4.tif,52.0,,60.0,,60.0,,62.0,,8.0,0.0,2.0,10.0
DB2_B,106_5.tif,55.0,,52.0,,67.0,,47.0,,-3.0,15.0,-20.0,-8.0
DB2_B,106_6.tif,43.0,,55.0,,56.0,,57.0,,12.0,1.0,1.0,14.0
DB2_B,106_7.tif,59.0,,47.0,,44.0,,46.0,,-12.0,-3.0,2.0,-13.0
DB2_B,106_8.tif,50.0,,65.0,,66.0,,62.0,,15.0,1.0,-4.0,12.0
DB2_B,107_1.tif,36.0,,52.0,,62.0,,69.0,,16.0,10.0,7.0,33.0
DB2_B,107_2.tif,64.0,,74.0,,73.0,,72.0,,10.0,-1.0,-1.0,8.0
DB2_B,107_3.tif,74.0,,72.0,,79.0,,70.0,,-2.0,7.0,-9.0,-4.0
DB2_B,107_4.tif,64.0,,76.0,,76.0,,85.0,,12.0,0.0,9.0,21.0
DB2_B,107_5.tif,34.0,,54.0,,55.0,,71.0,,20.0,1.0,16.0,37.0
DB2_B,107_6.tif,33.0,,44.0,,54.0,,44.0,,11.0,10.0,-10.0,11.0
DB2_B,107_7.tif,53.0,,72.0,,75.0,,61.0,,19.0,3.0,-14.0,8.0
DB2_B,107_8.tif,66.0,,65.0,,69.0,,64.0,,-1.0,4.0,-5.0,-2.0
DB2_B,108_1.tif,61.0,,71.0,,60.0,,65.0,,10.0,-11.0,5.0,4.0
DB2_B,108_2.tif,58.0,,74.0,,65.0,,64.0,,16.0,-9.0,-1.0,6.0
DB2_B,108_3.tif,46.0,,53.0,,56.0,,58.0,,7.0,3.0,2.0,12.0
