variant,db,file,raw_nfiq2,raw_error,final_nfiq2,final_error,delta_final
v2b_minus_p6,DB1_B,103_5.tif,67.0,,65.0,,-2.0
v2a_minus_p1,DB1_B,103_6.tif,76.0,,79.0,,3.0
v2a_minus_p2,DB1_B,103_6.tif,76.0,,68.0,,-8.0
v2a_minus_p6,DB1_B,103_6.tif,76.0,,62.0,,-14.0
v2b_minus_p1,DB1_B,103_6.tif,76.0,,76.0,,0.0
v2b_minus_p2,DB1_B,103_6.tif,76.0,,65.0,,-11.0
v2b_minus_p6,DB1_B,103_6.tif,76.0,,73.0,,-3.0
v2a_minus_p1,DB1_B,103_7.tif,59.0,,57.0,,-2.0
v2a_minus_p2,DB1_B,103_7.tif,59.0,,44.0,,-15.0
v2a_minus_p6,DB1_B,103_7.tif,59.0,,55.0,,-4.0
v2b_minus_p1,DB1_B,103_7.tif,59.0,,62.0,,3.0
v2b_minus_p2,DB1_B,103_7.tif,59.0,,67.0,,8.0
v2b_minus_p6,DB1_B,103_7.tif,59.0,,64.0,,5.0
v2a_minus_p1,DB1_B,103_8.tif,42.0,,40.0,,-2.0
v2a_minus_p2,DB1_B,103_8.tif,42.0,,44.0,,2.0
v2a_minus_p6,DB1_B,103_8.tif,42.0,,50.0,,8.0
v2b_minus_p1,DB1_B,103_8.tif,42.0,,37.0,,-5.0
v2b_minus_p2,DB1_B,103_8.tif,42.0,,44.0,,2.0
v2b_minus_p6,DB1_B,103_8.tif,42.0,,43.0,,1.0
v2a_minus_p1,DB1_B,104_1.tif,79.0,,69.0,,-10.0
v2a_minus_p2,DB1_B,104_1.tif,79.0,,70.0,,-9.0
v2a_minus_p6,DB1_B,104_1.tif,79.0,,65.0,,-14.0
v2b_minus_p1,DB1_B,104_1.tif,79.0,,79.0,,0.0
v2b_minus_p2,DB1_B,104_1.tif,79.0,,86.0,,7.0
v2b_minus_p6,DB1_B,104_1.tif,79.0,,82.0,,3.0
v2a_minus_p1,DB1_B,104_2.tif,74.0,,62.0,,-12.0
v2a_minus_p2,DB1_B,104_2.tif,74.0,,75.0,,1.0
