database,filename,relative_path,raw_nfiq2,stage1_p1_nfiq2,stage2_p1_p2_nfiq2,stage3_p1_p2_p6_nfiq2,delta_p1,delta_p2,delta_p6,delta_final,processing_status,error,raw_error,stage1_error,stage2_error,stage3_error,stage3_equals_enhance,shape,dtype,processing_seconds,scoring_seconds,total_seconds
DB1_B,106_3.tif,data/raw/DB1_B/106_3.tif,79.0,80.0,75.0,78.0,1.0,-5.0,3.0,-1.0,success,,,,,,True,374x388,uint8,0.08133189999352908,1.636507100003655,1.7187906000035582
DB1_B,106_4.tif,data/raw/DB1_B/106_4.tif,77.0,77.0,86.0,76.0,0.0,9.0,-10.0,-1.0,success,,,,,,True,374x388,uint8,0.08545340000273427,1.5906774999966729,1.6770955000029062
DB1_B,106_5.tif,data/raw/DB1_B/106_5.tif,71.0,75.0,86.0,73.0,4.0,11.0,-13.0,2.0,success,,,,,,True,374x388,uint8,0.08633579999877838,1.6200623999975505,1.7073797999983071
DB1_B,106_6.tif,data/raw/DB1_B/106_6.tif,72.0,82.0,79.0,79.0,10.0,-3.0,0.0,7.0,success,,,,,,True,374x388,uint8,0.08004490000166697,1.606945799998357,1.6882962999952724
DB1_B,106_7.tif,data/raw/DB1_B/106_7.tif,76.0,82.0,80.0,81.0,6.0,-2.0,1.0,5.0,success,,,,,,True,374x388,uint8,0.07700179999665124,1.5824510000020382,1.6604027999928803
DB1_B,106_8.tif,data/raw/DB1_B/106_8.tif,71.0,76.0,80.0,74.0,5.0,4.0,-6.0,3.0,success,,,,,,True,374x388,uint8,0.0860363999963738,1.584424199994828,1.671040900000662
DB1_B,107_1.tif,data/raw/DB1_B/107_1.tif,71.0,75.0,77.0,76.0,4.0,2.0,-1.0,5.0,success,,,,,,True,374x388,uint8,0.08598290000372799,1.6028297000011662,1.6897632999971393
DB1_B,107_2.tif,data/raw/DB1_B/107_2.tif,74.0,74.0,74.0,69.0,0.0,0.0,-5.0,-5.0,success,,,,,,True,374x388,uint8,0.0797824999972363,1.5937981000024593,1.674675299997034
DB1_B,107_3.tif,data/raw/DB1_B/107_3.tif,54.0,73.0,75.0,74.0,19.0,2.0,-1.0,20.0,success,,,,,,True,374x388,uint8,0.08155270000133896,1.6054776000019046,1.6879544999974314
DB1_B,107_4.tif,data/raw/DB1_B/107_4.tif,73.0,72.0,72.0,72.0,-1.0,0.0,0.0,-1.0,success,,,,,,True,374x388,uint8,0.08405599999969127,1.5980312999963644,1.6831103999938932
DB1_B,107_5.tif,data/raw/DB1_B/107_5.tif,60.0,60.0,58.0,61.0,0.0,-2.0,3.0,1.0,success,,,,,,True,374x388,uint8,0.07466069999645697,1.5750549000003957,1.6506511000043247
DB1_B,107_6.tif,data/raw/DB1_B/107_6.tif,73.0,87.0,86.0,89.0,14.0,-1.0,3.0,16.0,success,,,,,,True,374x388,uint8,0.0835162000003038,1.625404600003094,1.7099221999960719
DB1_B,107_7.tif,data/raw/DB1_B/107_7.tif,76.0,80.0,80.0,80.0,4.0,0.0,0.0,4.0,success,,,,,,True,374x388,uint8,0.08141250000335276,1.6417762999990373,1.7239942999949562
DB1_B,107_8.tif,data/raw/DB1_B/107_8.tif,51.0,43.0,41.0,42.0,-8.0,-2.0,1.0,-9.0,success,,,,,,True,374x388,uint8,0.07730289999744855,1.595528400001058,1.6738775999983773
DB1_B,108_1.tif,data/raw/DB1_B/108_1.tif,71.0,71.0,75.0,69.0,0.0,4.0,-6.0,-2.0,success,,,,,,True,374x388,uint8,0.09121990000130609,1.6162378000008175,1.7084239999967394
DB1_B,108_2.tif,data/raw/DB1_B/108_2.tif,79.0,80.0,79.0,79.0,1.0,-1.0,0.0,0.0,success,,,,,,True,374x388,uint8,0.09793509999872185,1.6685513999982504,1.767404499994882
DB1_B,108_3.tif,data/raw/DB1_B/108_3.tif,82.0,68.0,69.0,74.0,-14.0,1.0,5.0,-8.0,success,,,,,,True,374x388,uint8,0.07940599999710685,1.6412061000009999,1.7225104000026477
DB1_B,108_4.tif,data/raw/DB1_B/108_4.tif,75.0,85.0,85.0,83.0,10.0,0.0,-2.0,8.0,success,,,,,,True,374x388,uint8,0.08430950000183657,1.6984926000004634,1.7837201000002096
DB1_B,108_5.tif,data/raw/DB1_B/108_5.tif,44.0,71.0,72.0,66.0,27.0,1.0,-6.0,22.0,success,,,,,,True,374x388,uint8,0.0781187000029604,1.63618399999541,1.715392800004338
DB1_B,108_6.tif,data/raw/DB1_B/108_6.tif,78.0,83.0,90.0,84.0,5.0,7.0,-6.0,6.0,success,,,,,,True,374x388,uint8,0.0827763999986928,1.6773926000023494,1.7611452999990433
DB1_B,108_7.tif,data/raw/DB1_B/108_7.tif,68.0,73.0,74.0,83.0,5.0,1.0,9.0,15.0,success,,,,,,True,374x388,uint8,0.049537600003532134,1.6480946999945445,1.6982158999962849
DB1_B,108_8.tif,data/raw/DB1_B/108_8.tif,79.0,83.0,86.0,87.0,4.0,3.0,1.0,8.0,success,,,,,,True,374x388,uint8,0.049569799994060304,1.6116351000018767,1.661774799998966
DB1_B,109_1.tif,data/raw/DB1_B/109_1.tif,42.0,40.0,40.0,41.0,-2.0,0.0,1.0,-1.0,success,,,,,,True,374x388,uint8,0.047870499998680316,1.5824256999985664,1.6309080999999424
DB1_B,109_2.tif,data/raw/DB1_B/109_2.tif,67.0,62.0,66.0,62.0,-5.0,4.0,-4.0,-5.0,success,,,,,,True,374x388,uint8,0.04787470000155736,1.5812383000011323,1.6296483999976772
DB1_B,109_3.tif,data/raw/DB1_B/109_3.tif,37.0,44.0,43.0,38.0,7.0,-1.0,-5.0,1.0,success,,,,,,True,374x388,uint8,0.04934749999665655,1.6034224000031827,1.6533517999996548
DB1_B,109_4.tif,data/raw/DB1_B/109_4.tif,27.0,40.0,40.0,36.0,13.0,0.0,-4.0,9.0,success,,,,,,True,374x388,uint8,0.049924899998586625,1.5827798000027542,1.633213599998271
DB1_B,109_5.tif,data/raw/DB1_B/109_5.tif,57.0,63.0,58.0,58.0,6.0,-5.0,0.0,1.0,success,,,,,,True,374x388,uint8,0.04944190000242088,1.5807485999976052,1.6307572000005166
DB1_B,109_6.tif,data/raw/DB1_B/109_6.tif,15.0,15.0,16.0,13.0,0.0,1.0,-3.0,-2.0,success,,,,,,True,374x388,uint8,0.04857129999436438,1.5558020999960718,1.605022399999143
DB1_B,109_7.tif,data/raw/DB1_B/109_7.tif,65.0,65.0,66.0,68.0,0.0,1.0,2.0,3.0,success,,,,,,True,374x388,uint8,0.05403449999721488,1.5697590000054333,1.62439770000492
DB1_B,109_8.tif,data/raw/DB1_B/109_8.tif,33.0,36.0,37.0,37.0,3.0,1.0,0.0,4.0,success,,,,,,True,374x388,uint8,0.04825680000067223,1.5822237999964273,1.631006100004015
DB1_B,110_1.tif,data/raw/DB1_B/110_1.tif,49.0,52.0,53.0,56.0,3.0,1.0,3.0,7.0,success,,,,,,True,374x388,uint8,0.051228500000433996,1.6275642999971751,1.6793629999956465
DB1_B,110_2.tif,data/raw/DB1_B/110_2.tif,53.0,59.0,56.0,59.0,6.0,-3.0,3.0,6.0,success,,,,,,True,374x388,uint8,0.048988499998813495,1.596089700004086,1.645599100003892
DB1_B,110_3.tif,data/raw/DB1_B/110_3.tif,53.0,65.0,62.0,60.0,12.0,-3.0,-2.0,7.0,success,,,,,,True,374x388,uint8,0.0516490999943926,1.5924768000040785,1.6446595000015805
DB1_B,110_4.tif,data/raw/DB1_B/110_4.tif,51.0,62.0,64.0,66.0,11.0,2.0,2.0,15.0,success,,,,,,True,374x388,uint8,0.04834619999746792,1.5946588999941014,1.6435367000012775
DB1_B,110_5.tif,data/raw/DB1_B/110_5.tif,55.0,55.0,55.0,56.0,0.0,0.0,1.0,1.0,success,,,,,,True,374x388,uint8,0.05221569999412168,1.5839026000030572,1.6366374999997788
DB1_B,110_6.tif,data/raw/DB1_B/110_6.tif,54.0,53.0,54.0,57.0,-1.0,1.0,3.0,3.0,success,,,,,,True,374x388,uint8,0.049927200001548044,1.5888582000043243,1.6393441000036546
DB1_B,110_7.tif,data/raw/DB1_B/110_7.tif,81.0,85.0,92.0,88.0,4.0,7.0,-4.0,7.0,success,,,,,,True,374x388,uint8,0.04915410000103293,1.6299519999956829,1.6797043999977177
DB1_B,110_8.tif,data/raw/DB1_B/110_8.tif,61.0,59.0,57.0,57.0,-2.0,-2.0,0.0,-4.0,success,,,,,,True,374x388,uint8,0.05017550000047777,1.6113492000004044,1.6620724000022165
