variant,db,file,raw_nfiq2,raw_error,final_nfiq2,final_error,delta_final
minus_p6,DB1_B,105_8.tif,64.0,,48.0,,-16.0
minus_p1,DB1_B,106_1.tif,81.0,,57.0,,-24.0
minus_p2,DB1_B,106_1.tif,81.0,,73.0,,-8.0
minus_p6,DB1_B,106_1.tif,81.0,,65.0,,-16.0
minus_p1,DB1_B,106_2.tif,73.0,,56.0,,-17.0
minus_p2,DB1_B,106_2.tif,73.0,,55.0,,-18.0
minus_p6,DB1_B,106_2.tif,73.0,,56.0,,-17.0
minus_p1,DB1_B,106_3.tif,79.0,,64.0,,-15.0
minus_p2,DB1_B,106_3.tif,79.0,,76.0,,-3.0
minus_p6,DB1_B,106_3.tif,79.0,,64.0,,-15.0
minus_p1,DB1_B,106_4.tif,77.0,,58.0,,-19.0
minus_p2,DB1_B,106_4.tif,77.0,,65.0,,-12.0
minus_p6,DB1_B,106_4.tif,77.0,,61.0,,-16.0
minus_p1,DB1_B,106_5.tif,71.0,,66.0,,-5.0
minus_p2,DB1_B,106_5.tif,71.0,,63.0,,-8.0
minus_p6,DB1_B,106_5.tif,71.0,,61.0,,-10.0
minus_p1,DB1_B,106_6.tif,72.0,,61.0,,-11.0
minus_p2,DB1_B,106_6.tif,72.0,,60.0,,-12.0
minus_p6,DB1_B,106_6.tif,72.0,,55.0,,-17.0
minus_p1,DB1_B,106_7.tif,76.0,,67.0,,-9.0
minus_p2,DB1_B,106_7.tif,76.0,,77.0,,1.0
minus_p6,DB1_B,106_7.tif,76.0,,72.0,,-4.0
minus_p1,DB1_B,106_8.tif,71.0,,58.0,,-13.0
minus_p2,DB1_B,106_8.tif,71.0,,68.0,,-3.0
minus_p6,DB1_B,106_8.tif,71.0,,53.0,,-18.0
minus_p1,DB1_B,107_1.tif,71.0,,69.0,,-2.0
minus_p2,DB1_B,107_1.tif,71.0,,75.0,,4.0
minus_p6,DB1_B,107_1.tif,71.0,,69.0,,-2.0
minus_p1,DB1_B,107_2.tif,74.0,,69.0,,-5.0
minus_p2,DB1_B,107_2.tif,74.0,,63.0,,-11.0
minus_p6,DB1_B,107_2.tif,74.0,,60.0,,-14.0
minus_p1,DB1_B,107_3.tif,54.0,,75.0,,21.0
minus_p2,DB1_B,107_3.tif,54.0,,64.0,,10.0
minus_p6,DB1_B,107_3.tif,54.0,,68.0,,14.0
minus_p1,DB1_B,107_4.tif,73.0,,67.0,,-6.0
minus_p2,DB1_B,107_4.tif,73.0,,69.0,,-4.0
minus_p6,DB1_B,107_4.tif,73.0,,66.0,,-7.0
minus_p1,DB1_B,107_5.tif,60.0,,52.0,,-8.0
minus_p2,DB1_B,107_5.tif,60.0,,43.0,,-17.0
minus_p6,DB1_B,107_5.tif,60.0,,55.0,,-5.0
minus_p1,DB1_B,107_6.tif,73.0,,62.0,,-11.0
minus_p2,DB1_B,107_6.tif,73.0,,71.0,,-2.0
minus_p6,DB1_B,107_6.tif,73.0,,59.0,,-14.0
minus_p1,DB1_B,107_7.tif,76.0,,67.0,,-9.0
minus_p2,DB1_B,107_7.tif,76.0,,63.0,,-13.0
minus_p6,DB1_B,107_7.tif,76.0,,64.0,,-12.0
minus_p1,DB1_B,107_8.tif,51.0,,46.0,,-5.0
minus_p2,DB1_B,107_8.tif,51.0,,51.0,,0.0
minus_p6,DB1_B,107_8.tif,51.0,,48.0,,-3.0
