variant,db,file,raw_nfiq2,raw_error,stage1_nfiq2,stage1_error,stage2_nfiq2,stage2_error,stage3_nfiq2,stage3_error,delta_p1,delta_p2,delta_p6,delta_final
v2b,DB1_B,106_3.tif,79.0,,80.0,,75.0,,81.0,,1.0,-5.0,6.0,2.0
v2a,DB1_B,106_4.tif,77.0,,68.0,,61.0,,62.0,,-9.0,-7.0,1.0,-15.0
v2b,DB1_B,106_4.tif,77.0,,77.0,,86.0,,76.0,,0.0,9.0,-10.0,-1.0
v2a,DB1_B,106_5.tif,71.0,,64.0,,61.0,,62.0,,-7.0,-3.0,1.0,-9.0
v2b,DB1_B,106_5.tif,71.0,,75.0,,86.0,,64.0,,4.0,11.0,-22.0,-7.0
v2a,DB1_B,106_6.tif,72.0,,65.0,,55.0,,51.0,,-7.0,-10.0,-4.0,-21.0
v2b,DB1_B,106_6.tif,72.0,,82.0,,79.0,,75.0,,10.0,-3.0,-4.0,3.0
v2a,DB1_B,106_7.tif,76.0,,76.0,,72.0,,57.0,,0.0,-4.0,-15.0,-19.0
v2b,DB1_B,106_7.tif,76.0,,82.0,,80.0,,75.0,,6.0,-2.0,-5.0,-1.0
v2a,DB1_B,106_8.tif,71.0,,57.0,,53.0,,55.0,,-14.0,-4.0,2.0,-16.0
v2b,DB1_B,106_8.tif,71.0,,76.0,,80.0,,74.0,,5.0,4.0,-6.0,3.0
v2a,DB1_B,107_1.tif,71.0,,73.0,,69.0,,69.0,,2.0,-4.0,0.0,-2.0
v2b,DB1_B,107_1.tif,71.0,,75.0,,77.0,,69.0,,4.0,2.0,-8.0,-2.0
v2a,DB1_B,107_2.tif,74.0,,56.0,,60.0,,63.0,,-18.0,4.0,3.0,-11.0
v2b,DB1_B,107_2.tif,74.0,,74.0,,74.0,,70.0,,0.0,0.0,-4.0,-4.0
v2a,DB1_B,107_3.tif,54.0,,72.0,,68.0,,65.0,,18.0,-4.0,-3.0,11.0
v2b,DB1_B,107_3.tif,54.0,,73.0,,75.0,,77.0,,19.0,2.0,2.0,23.0
v2a,DB1_B,107_4.tif,73.0,,80.0,,66.0,,68.0,,7.0,-14.0,2.0,-5.0
v2b,DB1_B,107_4.tif,73.0,,72.0,,72.0,,70.0,,-1.0,0.0,-2.0,-3.0
v2a,DB1_B,107_5.tif,60.0,,48.0,,55.0,,42.0,,-12.0,7.0,-13.0,-18.0
v2b,DB1_B,107_5.tif,60.0,,60.0,,58.0,,59.0,,0.0,-2.0,1.0,-1.0
